0,00e+00
-0,00e+00
-1,25e+01
-3,66e+01
-7,05e+01
-1,11e+02
-1,30e+02
-1,43e+02
-1,49e+02
-1,49e+02
-1,43e+02
-1,30e+02
-1,11e+02
-8,82e+01
-6,10e+01
-3,12e+01
-8,50e-14
3,12e+01
6,10e+01
8,82e+01
1,11e+02
1,30e+02
1,43e+02
1,49e+02
1,49e+02
1,43e+02
1,30e+02
1,11e+02
8,82e+01
6,10e+01
3,12e+01
1,70e-13
-3,12e+01
-6,10e+01
-8,82e+01
-1,11e+02
-1,30e+02
-1,43e+02
-1,49e+02
-1,49e+02
-1,43e+02
-1,30e+02
-1,11e+02
-8,82e+01
-6,10e+01
-3,12e+01
-5,51e-14
3,12e+01
6,10e+01
8,82e+01
1,11e+02
1,30e+02
1,43e+02
1,49e+02
1,49e+02
1,43e+02
1,30e+02
1,11e+02
8,82e+01
6,10e+01
3,12e+01
